datetime,zenith,azimuth,uvdirect,uvdiffuse,uvreflected
Jan 01 2009 00:01:00,155.71,13.71,0,-3.7e-06,.000012
Jan 01 2009 00:02:00,155.66,14.26,0,-6.9e-06,.00001
Jan 01 2009 00:03:00,155.62,14.81,0,-9.2e-06,7.0e-06
Jan 01 2009 00:04:00,155.58,15.36,0,-.000011,7.8e-06
Jan 01 2009 00:05:00,155.53,15.9,0,-9.6e-06,2.3e-06
Jan 01 2009 00:06:00,155.48,16.45,0,-4.1e-06,6.2e-06
Jan 01 2009 00:07:00,155.43,16.99,0,-7.8e-06,4.6e-06
Jan 01 2009 00:08:00,155.38,17.53,0,-.000013,-2.3e-06
Jan 01 2009 00:09:00,155.33,18.06,0,-3.2e-06,5.4e-06
Jan 01 2009 00:10:00,155.28,18.6,0,-8.3e-06,.000014
Jan 01 2009 00:11:00,155.22,19.13,0,-4.1e-06,9.3e-06
Jan 01 2009 00:12:00,155.17,19.66,0,-3.2e-06,8.5e-06
Jan 01 2009 00:13:00,155.11,20.19,0,-6.4e-06,5.4e-06
Jan 01 2009 00:14:00,155.05,20.72,0,-.000012,3.9e-06
Jan 01 2009 00:15:00,154.99,21.24,0,-2.8e-06,-2.3e-06
Jan 01 2009 00:16:00,154.92,21.76,0,-6.9e-06,3.1e-06
Jan 01 2009 00:17:00,154.86,22.29,0,-6.4e-06,7.0e-06
Jan 01 2009 00:18:00,154.79,22.8,0,-8.7e-06,7.7e-06
Jan 01 2009 00:19:00,154.73,23.32,0,-6.0e-06,8.5e-06
Jan 01 2009 00:20:00,154.66,23.83,0,-.000018,9.3e-06
Jan 01 2009 00:21:00,154.59,24.34,0,-8.7e-06,.000015
Jan 01 2009 00:22:00,154.52,24.85,0,9.2e-07,.000012
Jan 01 2009 00:23:00,154.44,25.36,0,-6.4e-06,-8.5e-06
Jan 01 2009 00:24:00,154.37,25.86,0,-3.7e-06,6.2e-06
Jan 01 2009 00:25:00,154.29,26.37,0,-6.0e-06,3.9e-06
Jan 01 2009 00:26:00,154.22,26.86,0,-5.5e-06,8.5e-06
Jan 01 2009 00:27:00,154.14,27.36,0,-5.5e-06,.00002
Jan 01 2009 00:28:00,154.06,27.86,0,-9.2e-06,.000021
Jan 01 2009 00:29:00,153.98,28.35,0,-5.0e-06,5.4e-06
Jan 01 2009 00:30:00,153.9,28.84,0,-3.7e-06,3.9e-06
Jan 01 2009 00:31:00,153.82,29.32,0,-9.2e-06,2.3e-06
Jan 01 2009 00:32:00,153.73,29.81,0,9.2e-07,-7.0e-06
Jan 01 2009 00:33:00,153.65,30.29,0,-3.2e-06,9.3e-06
Jan 01 2009 00:34:00,153.56,30.77,0,-6.0e-06,9.3e-06
Jan 01 2009 00:35:00,153.47,31.24,0,-.000015,.000014
Jan 01 2009 00:36:00,153.38,31.72,0,-7.4e-06,.000017
Jan 01 2009 00:37:00,153.29,32.19,0,2.3e-06,3.1e-06
Jan 01 2009 00:38:00,153.2,32.66,0,-2.8e-06,.00001
Jan 01 2009 00:39:00,153.11,33.12,0,-.00001,0
Jan 01 2009 00:40:00,153.01,33.59,0,-1.4e-06,.000012
Jan 01 2009 00:41:00,152.92,34.05,0,-2.3e-06,.000037
Jan 01 2009 00:42:00,152.82,34.5,0,0,.000015
Jan 01 2009 00:43:00,152.72,34.96,0,-3.2e-06,4.6e-06
Jan 01 2009 00:44:00,152.62,35.41,0,-7.4e-06,.000014
Jan 01 2009 00:45:00,152.52,35.86,0,-6.9e-06,.000017
Jan 01 2009 00:46:00,152.42,36.31,0,-8.7e-06,8.5e-06
Jan 01 2009 00:47:00,152.32,36.75,0,-3.7e-06,9.3e-06
Jan 01 2009 00:48:00,152.22,37.2,0,-6.0e-06,7.0e-06
Jan 01 2009 00:49:00,152.12,37.63,0,-8.3e-06,.000012
Jan 01 2009 00:50:00,152.01,38.07,0,-6.0e-06,2.3e-06
Jan 01 2009 00:51:00,151.9,38.51,0,-6.9e-06,-2.3e-06
Jan 01 2009 00:52:00,151.8,38.94,0,-6.0e-06,7.8e-06
Jan 01 2009 00:53:00,151.69,39.37,0,-1.8e-06,3.1e-06
Jan 01 2009 00:54:00,151.58,39.79,0,-5.5e-06,.000018
Jan 01 2009 00:55:00,151.47,40.22,0,-2.8e-06,4.6e-06
Jan 01 2009 00:56:00,151.36,40.64,0,-7.4e-06,7.8e-06
