Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
0,10/26/14 00:00:00,10/26/14 23:58:00,1.651986E+002,1.506354E+002,6.553326E+000,8.009850E+000,9.322744E+006,1.#INF00E+000,1.#INF00E+000,4.520243E+005
1,10/26/14 00:00:00,10/26/14 23:58:00,2.080970E+002,1.864210E+002,1.409640E+001,7.579583E+000,1.174365E+007,1.#INF00E+000,1.#INF00E+000,4.277428E+005
2,10/26/14 00:00:00,10/26/14 23:58:00,2.610368E+002,2.284962E+002,2.525915E+001,7.281475E+000,1.473124E+007,1.#INF00E+000,1.#INF00E+000,4.109195E+005
3,10/26/14 00:00:00,10/26/14 23:58:00,2.363471E+002,1.992336E+002,2.916374E+001,7.949685E+000,1.333791E+007,1.#INF00E+000,1.#INF00E+000,4.486290E+005
4,10/26/14 00:00:00,10/26/14 23:58:00,2.576514E+002,2.179676E+002,3.183070E+001,7.853140E+000,1.454019E+007,1.#INF00E+000,1.#INF00E+000,4.431806E+005
5,10/26/14 00:00:00,10/26/14 23:58:00,3.262631E+002,2.847312E+002,3.471146E+001,6.820383E+000,1.841219E+007,1.#INF00E+000,1.#INF00E+000,3.848985E+005
6,10/26/14 00:00:00,10/26/14 23:58:00,2.522906E+001,1.550549E+001,2.654058E-004,9.723311E+000,1.423766E+006,1.#INF00E+000,1.#INF00E+000,5.487211E+005
7,10/26/14 00:00:00,10/26/14 23:58:00,3.256561E+001,2.258499E+001,2.618036E-001,9.718805E+000,1.837793E+006,1.#INF00E+000,1.#INF00E+000,5.484668E+005
8,10/26/14 00:00:00,10/26/14 23:58:00,6.726265E+001,5.054544E+001,6.981170E+000,9.736035E+000,3.795871E+006,1.#INF00E+000,1.#INF00E+000,5.494391E+005
9,10/26/14 00:00:00,10/26/14 23:58:00,1.370223E+002,1.100659E+002,1.766464E+001,9.291790E+000,7.732656E+006,1.#INF00E+000,1.#INF00E+000,5.243688E+005
10,10/26/14 00:00:00,10/26/14 23:58:00,2.082062E+002,1.742247E+002,2.539216E+001,8.589247E+000,1.174981E+007,1.#INF00E+000,1.#INF00E+000,4.847217E+005
11,10/26/14 00:00:00,10/26/14 23:58:00,2.623826E+002,2.259052E+002,2.865047E+001,7.826898E+000,1.480718E+007,1.#INF00E+000,1.#INF00E+000,4.416997E+005
12,10/26/14 00:00:00,10/26/14 23:58:00,5.678134E+001,4.726908E+001,1.004103E-002,9.502213E+000,3.204373E+006,1.#INF00E+000,1.#INF00E+000,5.362436E+005
13,10/26/14 00:00:00,10/26/14 23:58:00,3.201197E+001,2.218787E+001,9.158676E-003,9.814940E+000,1.806549E+006,1.#INF00E+000,1.#INF00E+000,5.538920E+005
14,10/26/14 00:00:00,10/26/14 23:58:00,4.718785E+001,3.709103E+001,6.835165E-002,1.002846E+001,2.662978E+006,1.#INF00E+000,1.#INF00E+000,5.659417E+005
15,10/26/14 00:00:00,10/26/14 23:58:00,1.040730E+002,8.891025E+001,5.475077E+000,9.687647E+000,5.873208E+006,1.#INF00E+000,1.#INF00E+000,5.467084E+005
16,10/26/14 00:00:00,10/26/14 23:58:00,1.802862E+002,1.533504E+002,1.807165E+001,8.864084E+000,1.017419E+007,1.#INF00E+000,1.#INF00E+000,5.002318E+005
17,10/26/14 00:00:00,10/26/14 23:58:00,2.947676E+002,2.592496E+002,2.824676E+001,7.271285E+000,1.663478E+007,1.#INF00E+000,1.#INF00E+000,4.103445E+005
18,10/26/14 00:00:00,10/26/14 23:58:00,2.394576E+002,2.319788E+002,1.960801E-001,7.282780E+000,1.351345E+007,1.#INF00E+000,1.#INF00E+000,4.109932E+005
19,10/26/14 00:00:00,10/26/14 23:58:00,1.938397E+002,1.855209E+002,2.917856E-001,8.027028E+000,1.093906E+007,1.#INF00E+000,1.#INF00E+000,4.529938E+005
20,10/26/14 00:00:00,10/26/14 23:58:00,1.761856E+002,1.659322E+002,1.821796E+000,8.431590E+000,9.942781E+006,1.#INF00E+000,1.#INF00E+000,4.758246E+005
21,10/26/14 00:00:00,10/26/14 23:58:00,2.241639E+002,2.102964E+002,5.903956E+000,7.963536E+000,1.265037E+007,1.#INF00E+000,1.#INF00E+000,4.494107E+005
