Start Time,End Time,Total Intensity Measured [J/m2],Diffuse Intensity Measured [J/m2],Direct Intensity Measured [J/m2],Reflected Intensity Measured [J/m2],Total Intensity Calculated [J/m2],Diffuse Intensity Calculated [J/m2],Direct Intensity Calculated [J/m2],Reflected Intensity Calculated [J/m2],Total Intensity Difference [%],Diffuse Intensity Difference [%],Direct Intensity Difference [%],Reflected Intensity Difference [%]
04/09/14 10:01:00,04/09/14 10:01:00,6.349797E+000,3.352800E+000,2.930217E+000,6.678000E-002,6.351336E+000,3.354309E+000,2.930217E+000,6.681005E-002,8.999267E-002,4.499694E-002,0.000000E+000,4.499574E-002
04/09/14 10:02:00,04/09/14 10:02:00,6.384101E+000,3.360600E+000,2.956721E+000,6.678000E-002,6.385642E+000,3.362111E+000,2.956721E+000,6.681003E-002,8.992742E-002,4.496510E-002,0.000000E+000,4.496232E-002
04/09/14 10:03:00,04/09/14 10:03:00,6.395716E+000,3.369000E+000,2.959936E+000,6.678000E-002,6.397261E+000,3.370515E+000,2.959936E+000,6.681003E-002,8.992854E-002,4.496621E-002,0.000000E+000,4.496232E-002
04/09/14 10:04:00,04/09/14 10:04:00,6.420718E+000,3.377400E+000,2.976538E+000,6.678000E-002,6.422266E+000,3.378919E+000,2.976538E+000,6.681003E-002,8.992965E-002,4.496732E-002,0.000000E+000,4.496232E-002
04/09/14 10:05:00,04/09/14 10:05:00,6.449890E+000,3.386400E+000,2.996710E+000,6.678000E-002,6.451443E+000,3.387923E+000,2.996710E+000,6.681003E-002,8.992983E-002,4.496750E-002,0.000000E+000,4.496232E-002
04/09/14 10:06:00,04/09/14 10:06:00,6.474850E+000,3.396000E+000,3.012069E+000,6.678000E-002,6.476407E+000,3.397527E+000,3.012069E+000,6.681003E-002,8.992908E-002,4.496675E-002,0.000000E+000,4.496232E-002
04/09/14 10:07:00,04/09/14 10:07:00,6.500510E+000,3.404400E+000,3.027890E+000,6.822000E-002,6.502071E+000,3.405931E+000,3.027890E+000,6.825068E-002,8.993126E-002,4.496785E-002,0.000000E+000,4.496341E-002
04/09/14 10:08:00,04/09/14 10:08:00,6.528904E+000,3.415200E+000,3.045484E+000,6.822000E-002,6.530470E+000,3.416736E+000,3.045484E+000,6.825068E-002,8.992868E-002,4.496527E-002,0.000000E+000,4.496341E-002
04/09/14 10:09:00,04/09/14 10:09:00,6.573081E+000,3.426000E+000,3.078860E+000,6.822000E-002,6.574652E+000,3.427541E+000,3.078860E+000,6.825068E-002,8.992612E-002,4.496271E-002,0.000000E+000,4.496341E-002
04/09/14 10:10:00,04/09/14 10:10:00,6.587329E+000,3.434400E+000,3.084709E+000,6.822000E-002,6.588904E+000,3.435944E+000,3.084709E+000,6.825068E-002,8.992723E-002,4.496381E-002,0.000000E+000,4.496341E-002
04/09/14 10:11:00,04/09/14 10:11:00,6.603097E+000,3.445200E+000,3.089677E+000,6.822000E-002,6.604676E+000,3.446749E+000,3.089677E+000,6.825068E-002,8.993159E-002,4.496818E-002,0.000000E+000,4.496341E-002
04/09/14 10:12:00,04/09/14 10:12:00,6.653736E+000,3.456600E+000,3.128916E+000,6.822000E-002,6.655320E+000,3.458154E+000,3.128915E+000,6.825068E-002,8.993575E-002,4.496472E-002,7.619847E-006,4.496341E-002
04/09/14 10:13:00,04/09/14 10:13:00,6.676203E+000,3.467400E+000,3.139202E+000,6.960000E-002,6.677793E+000,3.468959E+000,3.139203E+000,6.963129E-002,8.993706E-002,4.496907E-002,7.594877E-006,4.496040E-002
04/09/14 10:14:00,04/09/14 10:14:00,6.692945E+000,3.477000E+000,3.146345E+000,6.960000E-002,6.694540E+000,3.478564E+000,3.146345E+000,6.963129E-002,8.992874E-002,4.496834E-002,0.000000E+000,4.496040E-002
04/09/14 10:15:00,04/09/14 10:15:00,6.707425E+000,3.487800E+000,3.150025E+000,6.960000E-002,6.709025E+000,3.489368E+000,3.150025E+000,6.963129E-002,8.992621E-002,4.496581E-002,0.000000E+000,4.496040E-002
04/09/14 10:16:00,04/09/14 10:16:00,6.741400E+000,3.497400E+000,3.174400E+000,6.960000E-002,6.743004E+000,3.498973E+000,3.174400E+000,6.963129E-002,8.992549E-002,4.496508E-002,0.000000E+000,4.496040E-002
