Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
0,04/09/14 10:01:00,04/09/14 11:00:00,5.459096E+001,5.206565E+001,0.000000E+000,2.525312E+000,7.177562E+002,1.369172E+003,0.000000E+000,3.228673E+003
1,04/09/14 10:01:00,04/09/14 11:00:00,7.362053E+001,7.128927E+001,0.000000E+000,2.331259E+000,9.679550E+002,1.874697E+003,0.000000E+000,2.980572E+003
2,04/09/14 10:01:00,04/09/14 11:00:00,1.100962E+002,9.855373E+001,9.520233E+000,2.022214E+000,1.447533E+003,2.591671E+003,2.555866E+002,2.585451E+003
3,04/09/14 10:01:00,04/09/14 11:00:00,1.756425E+002,9.879522E+001,7.482041E+001,2.026850E+000,2.309329E+003,2.598022E+003,2.008680E+003,2.591377E+003
4,04/09/14 10:01:00,04/09/14 11:00:00,2.425015E+002,1.086479E+002,1.319281E+002,1.925520E+000,3.188384E+003,2.857117E+003,3.541831E+003,2.461825E+003
5,04/09/14 10:01:00,04/09/14 11:00:00,3.389526E+002,1.343334E+002,2.030422E+002,1.577059E+000,4.456513E+003,3.532570E+003,5.451009E+003,2.016309E+003
6,04/09/14 10:01:00,04/09/14 11:00:00,7.582146E+000,4.769855E+000,0.000000E+000,2.812290E+000,9.968925E+001,1.254331E+002,0.000000E+000,3.595583E+003
7,04/09/14 10:01:00,04/09/14 11:00:00,1.701733E+001,1.432032E+001,0.000000E+000,2.697010E+000,2.237421E+002,3.765821E+002,0.000000E+000,3.448193E+003
8,04/09/14 10:01:00,04/09/14 11:00:00,4.018414E+001,3.761530E+001,0.000000E+000,2.568839E+000,5.283368E+002,9.891710E+002,0.000000E+000,3.284323E+003
9,04/09/14 10:01:00,04/09/14 11:00:00,1.337894E+002,6.882557E+001,6.260632E+001,2.357461E+000,1.759048E+003,1.809909E+003,1.680772E+003,3.014072E+003
10,04/09/14 10:01:00,04/09/14 11:00:00,2.238046E+002,9.398273E+001,1.276950E+002,2.126873E+000,2.942559E+003,2.471468E+003,3.428187E+003,2.719260E+003
11,04/09/14 10:01:00,04/09/14 11:00:00,2.867271E+002,1.118533E+002,1.729735E+002,1.900352E+000,3.769859E+003,2.941411E+003,4.643763E+003,2.429647E+003
12,04/09/14 10:01:00,04/09/14 11:00:00,1.494373E+001,1.215168E+001,0.000000E+000,2.792056E+000,1.964786E+002,3.195531E+002,0.000000E+000,3.569712E+003
13,04/09/14 10:01:00,04/09/14 11:00:00,1.392800E+001,1.120145E+001,0.000000E+000,2.726551E+000,1.831238E+002,2.945649E+002,0.000000E+000,3.485962E+003
14,04/09/14 10:01:00,04/09/14 11:00:00,3.192200E+001,2.929694E+001,0.000000E+000,2.625063E+000,4.197072E+002,7.704229E+002,0.000000E+000,3.356208E+003
15,04/09/14 10:01:00,04/09/14 11:00:00,1.257958E+002,5.845495E+001,6.493910E+001,2.401706E+000,1.653949E+003,1.537192E+003,1.743399E+003,3.070641E+003
16,04/09/14 10:01:00,04/09/14 11:00:00,2.131544E+002,8.472796E+001,1.262237E+002,2.202728E+000,2.802532E+003,2.228095E+003,3.388688E+003,2.816242E+003
17,04/09/14 10:01:00,04/09/14 11:00:00,3.316312E+002,1.251374E+002,2.047972E+002,1.696721E+000,4.360253E+003,3.290742E+003,5.498124E+003,2.169300E+003
18,04/09/14 10:01:00,04/09/14 11:00:00,7.356349E+001,7.107672E+001,0.000000E+000,2.486771E+000,9.672051E+002,1.869107E+003,0.000000E+000,3.179398E+003
19,04/09/14 10:01:00,04/09/14 11:00:00,6.856416E+001,6.280391E+001,3.220557E+000,2.539701E+000,9.014745E+002,1.651557E+003,8.646126E+001,3.247070E+003
20,04/09/14 10:01:00,04/09/14 11:00:00,1.233193E+002,6.914914E+001,5.173024E+001,2.439896E+000,1.621389E+003,1.818418E+003,1.388785E+003,3.119468E+003
21,04/09/14 10:01:00,04/09/14 11:00:00,2.336734E+002,9.540790E+001,1.361280E+002,2.137495E+000,3.072314E+003,2.508946E+003,3.654586E+003,2.732840E+003
22,04/09/14 10:01:00,04/09/14 11:00:00,2.996433E+002,1.128149E+002,1.849485E+002,1.879881E+000,3.939678E+003,2.966699E+003,4.965251E+003,2.403475E+003
23,04/09/14 10:01:00,04/09/14 11:00:00,3.633819E+002,1.377138E+002,2.241792E+002,1.488909E+000,4.777707E+003,3.621465E+003,6.018465E+003,1.903608E+003
24,04/09/14 10:01:00,04/09/14 11:00:00,2.227937E+002,1.517931E+002,6.970560E+001,1.294988E+000,2.929268E+003,3.991710E+003,1.871364E+003,1.655674E+003
25,04/09/14 10:01:00,04/09/14 11:00:00,2.194730E+002,1.359547E+002,8.192738E+001,1.590993E+000,2.885608E+003,3.575206E+003,2.199478E+003,2.034123E+003
