Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
0,07/05/17 08:00:00,07/05/17 12:00:00,4.813004E+002,4.792188E+002,0.000000E+000,2.081615E+000,1.483138E+001,2.386785E+001,0.000000E+000,5.664649E+001
1,07/05/17 08:00:00,07/05/17 12:00:00,6.454926E+002,6.435355E+002,0.000000E+000,1.957156E+000,1.989100E+001,3.205177E+001,0.000000E+000,5.325962E+001
2,07/05/17 08:00:00,07/05/17 12:00:00,8.687137E+002,8.669473E+002,0.000000E+000,1.766464E+000,2.676961E+001,4.317896E+001,0.000000E+000,4.807036E+001
3,07/05/17 08:00:00,07/05/17 12:00:00,8.430712E+002,8.412791E+002,0.000000E+000,1.792205E+000,2.597943E+001,4.190053E+001,0.000000E+000,4.877084E+001
4,07/05/17 08:00:00,07/05/17 12:00:00,9.227166E+002,9.210090E+002,0.000000E+000,1.707533E+000,2.843372E+001,4.587155E+001,0.000000E+000,4.646668E+001
5,07/05/17 08:00:00,07/05/17 12:00:00,1.155060E+003,1.153620E+003,0.000000E+000,1.439662E+000,3.559344E+001,5.745693E+001,0.000000E+000,3.917716E+001
6,07/05/17 08:00:00,07/05/17 12:00:00,3.697838E+001,3.463193E+001,0.000000E+000,2.346445E+000,1.139497E+000,1.724869E+000,0.000000E+000,6.385325E+001
7,07/05/17 08:00:00,07/05/17 12:00:00,1.076336E+002,1.053396E+002,0.000000E+000,2.294023E+000,3.316754E+000,5.246518E+000,0.000000E+000,6.242670E+001
8,07/05/17 08:00:00,07/05/17 12:00:00,2.910436E+002,2.888518E+002,0.000000E+000,2.191793E+000,8.968575E+000,1.438648E+001,0.000000E+000,5.964475E+001
9,07/05/17 08:00:00,07/05/17 12:00:00,5.557360E+002,5.536988E+002,0.000000E+000,2.037215E+000,1.712513E+001,2.757738E+001,0.000000E+000,5.543824E+001
10,07/05/17 08:00:00,07/05/17 12:00:00,7.800974E+002,7.782263E+002,0.000000E+000,1.871030E+000,2.403887E+001,3.876015E+001,0.000000E+000,5.091588E+001
11,07/05/17 08:00:00,07/05/17 12:00:00,9.455811E+002,9.438796E+002,0.000000E+000,1.701450E+000,2.913829E+001,4.701063E+001,0.000000E+000,4.630115E+001
12,07/05/17 08:00:00,07/05/17 12:00:00,1.150133E+002,1.126331E+002,0.000000E+000,2.380194E+000,3.544159E+000,5.609774E+000,0.000000E+000,6.477164E+001
13,07/05/17 08:00:00,07/05/17 12:00:00,8.588802E+001,8.352864E+001,0.000000E+000,2.359375E+000,2.646658E+000,4.160207E+000,0.000000E+000,6.420509E+001
14,07/05/17 08:00:00,07/05/17 12:00:00,2.210340E+002,2.187545E+002,0.000000E+000,2.279404E+000,6.811211E+000,1.089523E+001,0.000000E+000,6.202887E+001
15,07/05/17 08:00:00,07/05/17 12:00:00,4.665410E+002,4.644160E+002,0.000000E+000,2.125016E+000,1.437657E+001,2.313059E+001,0.000000E+000,5.782756E+001
16,07/05/17 08:00:00,07/05/17 12:00:00,6.987137E+002,6.967544E+002,0.000000E+000,1.959368E+000,2.153102E+001,3.470238E+001,0.000000E+000,5.331980E+001
17,07/05/17 08:00:00,07/05/17 12:00:00,1.073218E+003,1.071655E+003,0.000000E+000,1.562989E+000,3.307144E+001,5.337456E+001,0.000000E+000,4.253325E+001
18,07/05/17 08:00:00,07/05/17 12:00:00,8.708456E+002,6.813535E+002,1.874353E+002,2.056910E+000,2.683530E+001,3.393532E+001,1.519326E+001,5.597420E+001
19,07/05/17 08:00:00,07/05/17 12:00:00,6.433948E+002,5.813458E+002,5.993112E+001,2.117854E+000,1.982635E+001,2.895436E+001,4.857938E+000,5.763266E+001
20,07/05/17 08:00:00,07/05/17 12:00:00,6.163980E+002,6.068254E+002,7.483967E+000,2.088638E+000,1.899444E+001,3.022339E+001,6.066405E-001,5.683761E+001
21,07/05/17 08:00:00,07/05/17 12:00:00,8.289164E+002,8.241161E+002,2.946457E+000,1.853906E+000,2.554325E+001,4.104572E+001,2.388359E-001,5.044989E+001
22,07/05/17 08:00:00,07/05/17 12:00:00,9.695920E+002,9.679022E+002,0.000000E+000,1.689887E+000,2.987820E+001,4.820709E+001,0.000000E+000,4.598650E+001
23,07/05/17 08:00:00,07/05/17 12:00:00,1.189234E+003,1.187834E+003,0.000000E+000,1.400477E+000,3.664652E+001,5.916096E+001,0.000000E+000,3.811084E+001
24,07/05/17 08:00:00,07/05/17 12:00:00,2.599460E+003,1.449594E+003,1.148855E+003,1.011379E+000,8.010294E+001,7.219809E+001,9.312468E+001,2.752241E+001
25,07/05/17 08:00:00,07/05/17 12:00:00,2.170932E+003,1.284422E+003,8.852210E+002,1.289278E+000,6.689776E+001,6.397160E+001,7.175485E+001,3.508480E+001
26,07/05/17 08:00:00,07/05/17 12:00:00,2.126225E+003,1.380063E+003,7.450268E+002,1.135941E+000,6.552011E+001,6.873505E+001,6.039089E+001,3.091208E+001
27,07/05/17 08:00:00,07/05/17 12:00:00,2.006621E+003,1.469225E+003,5.364221E+002,9.744569E-001,6.183449E+001,7.317585E+001,4.348166E+001,2.651766E+001
28,07/05/17 08:00:00,07/05/17 12:00:00,1.731561E+003,1.446198E+003,2.843557E+002,1.007647E+000,5.335845E+001,7.202897E+001,2.304950E+001,2.742085E+001
29,07/05/17 08:00:00,07/05/17 12:00:00,1.243041E+003,1.241719E+003,0.000000E+000,1.321917E+000,3.830459E+001,6.184476E+001,0.000000E+000,3.597300E+001
30,07/05/17 08:00:00,07/05/17 12:00:00,3.343206E+003,1.893222E+003,1.449775E+003,2.086082E-001,1.030216E+002,9.429334E+001,1.175169E+002,5.676804E+000
31,07/05/17 08:00:00,07/05/17 12:00:00,3.298281E+003,1.888634E+003,1.409430E+003,2.169424E-001,1.016373E+002,9.406485E+001,1.142465E+002,5.903602E+000
32,07/05/17 08:00:00,07/05/17 12:00:00,3.073057E+003,1.913287E+003,1.159598E+003,1.717876E-001,9.469695E+001,9.529269E+001,9.399550E+001,4.674816E+000
